"filename", "language", "HTML", "CSS", "PHP", "JavaScript", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\IngenieriaWeb\CSS\Estilos.css", "CSS", 0, 4, 0, 0, 0, 0, 4, 8
"c:\xampp\htdocs\IngenieriaWeb\CSS\Index.css", "CSS", 0, 30, 0, 0, 0, 0, 5, 35
"c:\xampp\htdocs\IngenieriaWeb\CSS\style.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\IngenieriaWeb\Funcionario.html", "HTML", 12, 0, 0, 0, 0, 0, 1, 13
"c:\xampp\htdocs\IngenieriaWeb\administrador.html", "HTML", 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\IngenieriaWeb\culturales.html", "HTML", 102, 0, 0, 0, 0, 1, 12, 115
"c:\xampp\htdocs\IngenieriaWeb\database\Sistema de migración.sql", "SQL", 0, 0, 0, 0, 2823, 53, 66, 2942
"c:\xampp\htdocs\IngenieriaWeb\index.html", "HTML", 48, 0, 0, 0, 0, 1, 11, 60
"c:\xampp\htdocs\IngenieriaWeb\laborales.html", "HTML", 102, 0, 0, 0, 0, 1, 14, 117
"c:\xampp\htdocs\IngenieriaWeb\migrantes.html", "HTML", 275, 0, 0, 0, 0, 36, 37, 348
"c:\xampp\htdocs\IngenieriaWeb\php\DataBase.php", "PHP", 0, 0, 196, 0, 0, 16, 30, 242
"c:\xampp\htdocs\IngenieriaWeb\php\ejemplosInicioSesion\adminlogin.php", "PHP", 0, 0, 40, 0, 0, 12, 19, 71
"c:\xampp\htdocs\IngenieriaWeb\php\ejemplosInicioSesion\adminlogout.php", "PHP", 0, 0, 11, 0, 0, 0, 4, 15
"c:\xampp\htdocs\IngenieriaWeb\php\ejemplosInicioSesion\adminsignup.php", "PHP", 0, 0, 16, 0, 0, 0, 9, 25
"c:\xampp\htdocs\IngenieriaWeb\php\ejemplosInicioSesion\jwt.php", "PHP", 0, 0, 58, 0, 0, 5, 11, 74
"c:\xampp\htdocs\IngenieriaWeb\php\res_administradores.php", "PHP", 0, 0, 2, 0, 0, 0, 2, 4
"c:\xampp\htdocs\IngenieriaWeb\php\res_culturales.php", "PHP", 0, 0, 82, 0, 0, 27, 29, 138
"c:\xampp\htdocs\IngenieriaWeb\php\res_funcionarios.php", "PHP", 0, 0, 16, 0, 0, 1, 3, 20
"c:\xampp\htdocs\IngenieriaWeb\php\res_laborales.php", "PHP", 0, 0, 84, 0, 0, 26, 31, 141
"c:\xampp\htdocs\IngenieriaWeb\php\res_migrantes.php", "PHP", 0, 0, 106, 0, 0, 20, 33, 159
"c:\xampp\htdocs\IngenieriaWeb\php\res_options.php", "PHP", 0, 0, 49, 0, 0, 7, 20, 76
"c:\xampp\htdocs\IngenieriaWeb\php\res_sesion.php", "PHP", 0, 0, 74, 0, 0, 6, 22, 102
"c:\xampp\htdocs\IngenieriaWeb\php\test.php", "PHP", 0, 0, 6, 0, 0, 0, 4, 10
"c:\xampp\htdocs\IngenieriaWeb\script\culturales.js", "JavaScript", 0, 0, 0, 74, 0, 5, 16, 95
"c:\xampp\htdocs\IngenieriaWeb\script\funcionario.js", "JavaScript", 0, 0, 0, 5, 0, 0, 7, 12
"c:\xampp\htdocs\IngenieriaWeb\script\index.js", "JavaScript", 0, 0, 0, 10, 0, 0, 4, 14
"c:\xampp\htdocs\IngenieriaWeb\script\laborales.js", "JavaScript", 0, 0, 0, 72, 0, 5, 12, 89
"c:\xampp\htdocs\IngenieriaWeb\script\migrantes.js", "JavaScript", 0, 0, 0, 140, 0, 8, 40, 188
"c:\xampp\htdocs\IngenieriaWeb\script\modules.js", "JavaScript", 0, 0, 0, 324, 0, 31, 88, 443
"c:\xampp\htdocs\IngenieriaWeb\script\old\classicModules.js", "JavaScript", 0, 0, 0, 302, 0, 23, 79, 404
"c:\xampp\htdocs\IngenieriaWeb\script\old\originalmodules.js", "JavaScript", 0, 0, 0, 129, 0, 37, 56, 222
"c:\xampp\htdocs\IngenieriaWeb\script\old\res_migrantes.php", "PHP", 0, 0, 103, 0, 0, 22, 36, 161
"Total", "-", 539, 34, 843, 1056, 2823, 343, 707, 6345